Date,Equities,Gold,REITs,Bitcoin
31-03-2016,7738.399902,1234.199951,58.03157043,416.7290039
01-04-2016,7713.049805,1222.199951,57.95539856,417.9599915
04-04-2016,7758.799805,1218,57.87229919,421.4440002
05-04-2016,7603.200195,1228.400024,57.49142075,424.0299988
06-04-2016,7614.350098,1222.5,57.62990952,423.4129944
07-04-2016,7546.450195,1236.199951,57.26982498,422.7449951
08-04-2016,7555.200195,1242.5,57.58837128,420.348999
11-04-2016,7671.399902,1256.699951,57.47065353,422.4830017
12-04-2016,7708.950195,1259.400024,57.88615799,425.1900024
13-04-2016,7850.450195,1246.800049,57.62990952,423.7340088
18-04-2016,7914.700195,1233.599976,58.01773071,428.5910034
20-04-2016,7914.75,1253.199951,57.06208801,441.3890076
21-04-2016,7912.049805,1249,56.04410553,449.4249878
22-04-2016,7899.299805,1228.699951,56.65349197,445.7369995
25-04-2016,7855.049805,1238.900024,57.12439728,461.4259949
26-04-2016,7962.649902,1242.199951,57.34601974,466.0889893
27-04-2016,7979.899902,1249.199951,57.31137466,444.6870117
28-04-2016,7847.25,1265.5,57.19364166,449.0109863
29-04-2016,7849.799805,1289.199951,56.66733551,455.0969849
02-05-2016,7805.899902,1294.699951,57.54680634,444.6690063
03-05-2016,7747,1290.699951,57.63684845,450.3039856
04-05-2016,7706.549805,1273.300049,58.46093369,446.7219849
05-05-2016,7735.5,1271.400024,58.6271286,447.9760132
06-05-2016,7733.450195,1292.900024,59.27116013,459.6029968
09-05-2016,7866.049805,1265.599976,59.92208099,460.4830017
10-05-2016,7887.799805,1263.900024,59.91517639,450.894989
11-05-2016,7848.850098,1274.599976,58.63406754,452.7279968
12-05-2016,7900.399902,1270.300049,58.97338486,454.7659912
13-05-2016,7814.899902,1271.900024,58.44709015,455.6700134
16-05-2016,7860.75,1273.400024,59.00108337,454.1629944
17-05-2016,7890.75,1276.199951,57.90692902,453.7829895
18-05-2016,7870.149902,1273.699951,56.99974442,454.618988
19-05-2016,7783.399902,1254.199951,56.36265945,438.7149963
20-05-2016,7749.700195,1252.400024,56.81277847,442.6759949
23-05-2016,7731.049805,1251.099976,56.81967926,444.1549988
24-05-2016,7748.850098,1228.900024,57.52606583,445.9809875
25-05-2016,7934.899902,1223.5,57.52606583,449.598999
26-05-2016,8069.649902,1220.099976,57.63684845,453.3840027
27-05-2016,8156.649902,1213.800049,57.94845963,473.4639893
31-05-2016,8160.100098,1214.800049,57.94155121,531.3859863
01-06-2016,8179.950195,1211.900024,57.99000549,536.9199829
02-06-2016,8218.950195,1209.800049,58.28778839,537.9719849
03-06-2016,8220.799805,1240.099976,58.52325058,569.1939697
06-06-2016,8201.049805,1244.599976,58.07313156,585.5369873
07-06-2016,8266.450195,1244.400024,58.42630386,576.5969849
08-06-2016,8273.049805,1259.800049,58.80023956,581.6450195
09-06-2016,8203.599609,1270.199951,58.93182373,574.6300049
10-06-2016,8170.049805,1273.400024,58.65481949,577.4699707
13-06-2016,8110.600098,1284.400024,58.66867065,704.3759766
14-06-2016,8108.850098,1285.599976,58.51632309,685.559021
15-06-2016,8206.599609,1285.800049,59.07032013,694.4689941
16-06-2016,8140.75,1296.099976,59.40272522,766.3079834
17-06-2016,8170.200195,1292.5,59.30577469,748.9089966
20-06-2016,8238.5,1290,59.38890076,737.2260132
21-06-2016,8219.900391,1270.5,59.61527634,666.6519775
22-06-2016,8203.700195,1268,59.52442551,596.1160278
23-06-2016,8270.450195,1261.199951,59.82489395,623.9769897
24-06-2016,8088.600098,1320,59.29385757,665.2990112
27-06-2016,8094.700195,1322.5,59.33576965,655.2750244
28-06-2016,8127.850098,1315.300049,60.58648682,647.0009766
29-06-2016,8204,1323.900024,61.32016373,639.8900146
30-06-2016,8287.75,1318.400024,61.9560051,673.3369751
01-07-2016,8328.349609,1336.699951,61.97694016,676.2960205
05-07-2016,8335.950195,1356.400024,62.66172028,670.6270142
07-07-2016,8337.900391,1360.099976,61.74637222,640.5620117
08-07-2016,8323.200195,1356.599976,62.7455368,666.5230103
11-07-2016,8467.900391,1355,63.16478729,647.6589966
12-07-2016,8521.049805,1334.099976,63.15778732,664.5510254
13-07-2016,8519.5,1342.400024,63.50714874,654.4680176
14-07-2016,8565,1331.300049,62.94119644,658.0780029
15-07-2016,8541.400391,1326.5,62.96216202,663.2550049
18-07-2016,8508.700195,1328.400024,63.12985992,673.1060181
19-07-2016,8528.549805,1331.5,63.43729401,672.8640137
20-07-2016,8565.849609,1318.800049,63.44428253,665.6849976
21-07-2016,8510.099609,1330.5,63.57004929,665.0120239
22-07-2016,8541.200195,1323.099976,64.12903595,650.6190186
25-07-2016,8635.650391,1319.300049,64.01024628,654.0969849
26-07-2016,8590.650391,1320.699951,63.69581985,651.7839966
27-07-2016,8615.799805,1326.599976,63.19971466,654.3519897
28-07-2016,8666.299805,1332.300049,63.78665161,655.0349731
29-07-2016,8638.5,1349,64.59719849,656.9920044
01-08-2016,8636.549805,1351.400024,64.73692322,606.2719727
02-08-2016,8622.900391,1364.400024,63.70279694,547.4650269
03-08-2016,8544.849609,1356.099976,63.33246613,566.3549805
04-08-2016,8551.099609,1358.800049,63.07395935,578.2890015
05-08-2016,8683.150391,1336.400024,63.11588669,575.0430298
08-08-2016,8711.349609,1333.400024,63.22766876,591.0540161
09-08-2016,8678.25,1339,63.57004929,587.8010254
10-08-2016,8575.299805,1344.300049,63.50016022,592.1030273
11-08-2016,8592.150391,1342.5,62.78046036,589.1199951
16-08-2016,8642.549805,1350.5,62.22848892,577.4390259
17-08-2016,8624.049805,1342.699951,62.48002625,573.2160034
18-08-2016,8673.25,1351.199951,62.2494545,574.3179932
19-08-2016,8666.900391,1340.400024,61.85117722,575.6300049
22-08-2016,8629.150391,1337.699951,62.18657684,586.7529907
23-08-2016,8632.599609,1340.599976,62.22151947,583.414978
24-08-2016,8650.299805,1324.400024,61.94898987,580.1820068
25-08-2016,8592.200195,1320.099976,62.22848892,577.7609863
26-08-2016,8572.549805,1321.5,61.61361694,579.651001
29-08-2016,8607.450195,1322.900024,62.22151947,574.1069946
30-08-2016,8744.349609,1311.699951,62.10271835,577.5029907
31-08-2016,8786.200195,1306.900024,62.16563797,575.4719849
01-09-2016,8774.650391,1312.199951,62.01189423,572.3029785
02-09-2016,8809.650391,1322.099976,62.54991913,575.5369873
06-09-2016,8943,1349.400024,63.03203583,610.4359741
07-09-2016,8917.950195,1344.300049,63.40933228,614.5440063
08-09-2016,8952.5,1336.800049,62.63376617,626.315979
09-09-2016,8866.700195,1330.099976,60.15327454,622.8610229
12-09-2016,8715.599609,1321,60.86597443,608.242981
14-09-2016,8726.599609,1321.5,59.52783203,610.684021
15-09-2016,8742.549805,1313.5,59.75296402,607.1550293
16-09-2016,8779.849609,1305.800049,59.7810936,606.9730225
19-09-2016,8808.400391,1313.5,60.32283783,609.2269897
20-09-2016,8775.900391,1313.699951,60.23136902,608.3120117
21-09-2016,8777.150391,1326.900024,61.00529099,597.1489868
22-09-2016,8867.450195,1340.400024,62.09579468,596.2979736
23-09-2016,8831.549805,1337.199951,62.28576279,602.84198
26-09-2016,8723.049805,1339.699951,62.43349075,608.0430298
27-09-2016,8706.400391,1325.900024,61.77215958,606.1660156
28-09-2016,8745.150391,1319.400024,62.27872086,604.7280273
29-09-2016,8591.25,1321.699951,61.44851685,605.6929932
30-09-2016,8611.150391,1313.300049,61.02640152,609.7349854
03-10-2016,8738.099609,1309,59.88664627,612.1329956
04-10-2016,8769.150391,1266.300049,59.07051849,610.2039795
05-10-2016,8743.950195,1265.199951,57.87447357,612.5109863
06-10-2016,8709.549805,1249.800049,57.89557266,613.0209961
07-10-2016,8697.599609,1248.900024,57.79706955,617.1209717
13-10-2016,8573.349609,1255,58.71168518,636.7860107
14-10-2016,8583.400391,1253.099976,58.45138931,640.3779907
17-10-2016,8520.400391,1254.400024,58.57801437,639.1929932
18-10-2016,8677.900391,1260.800049,58.95091629,637.960022
19-10-2016,8659.099609,1267.900024,59.07754517,630.5200195
20-10-2016,8699.400391,1265.599976,58.94387436,630.8569946
21-10-2016,8693.049805,1265.900024,58.72575378,632.8280029
24-10-2016,8708.950195,1262,58.85944748,653.7609863
25-10-2016,8691.299805,1271.900024,58.75389481,657.5880127
26-10-2016,8615.25,1264.800049,57.98704147,678.3040161
27-10-2016,8615.25,1267.900024,56.46735001,688.3129883
28-10-2016,8638,1275.5,56.60102463,689.651001
01-11-2016,8626.25,1286.400024,56.27036285,729.7930298
02-11-2016,8514,1306.800049,55.44719696,740.8289795
03-11-2016,8484.950195,1302.099976,55.01801682,688.7000122
04-11-2016,8433.75,1303.300049,55.45421982,703.2349854
07-11-2016,8497.049805,1278.300049,56.42514038,703.1309814
08-11-2016,8543.549805,1273.400024,56.7206459,709.8480225
09-11-2016,8432,1272.599976,55.86231232,723.2730103
